Prev Time,Curr Time,Frame Dur,FrameRate,
113.974245,113.991386,0.01714,58.339015,
113.991386,114.007532,0.01615,61.937542,
114.007532,114.023902,0.01637,61.085658,
114.023902,114.040615,0.01671,59.832505,
114.040615,114.057215,0.01660,60.241754,
114.057215,114.073898,0.01668,59.942937,
114.073898,114.090564,0.01667,60.000616,
114.090564,114.107232,0.01667,59.997152,
114.107232,114.123870,0.01664,60.102400,
114.123870,114.140549,0.01668,59.954464,
114.140549,114.157806,0.01726,57.947588,
114.157806,114.174083,0.01628,61.435930,
114.174083,114.190662,0.01658,60.317508,
114.190662,114.207549,0.01689,59.218827,
114.207549,114.224048,0.01650,60.610653,
114.224048,114.241867,0.01782,56.118147,
114.241867,114.257499,0.01563,63.970865,
114.257499,114.274287,0.01679,59.567299,
114.274287,114.291061,0.01677,59.613996,
114.291061,114.307508,0.01645,60.804509,
114.307508,114.324189,0.01668,59.947548,
114.324189,114.341332,0.01714,58.331375,
114.341332,114.444504,0.10317,9.692549,
114.444504,114.450095,0.00559,178.876190,
114.450095,114.463742,0.01365,73.275800,
114.463742,114.480241,0.01650,60.608297,
114.480241,114.497935,0.01769,56.517937,
114.497935,114.610354,0.11242,8.895276,
114.610354,114.616016,0.00566,176.606548,
114.616016,114.629884,0.01387,72.109813,
114.629884,114.646048,0.01616,61.865032,
114.646048,114.662687,0.01664,60.102400,
114.662687,114.679324,0.01664,60.105876,
114.679324,114.696505,0.01718,58.201796,
114.696505,114.713361,0.01686,59.325874,
114.713361,114.729316,0.01595,62.677147,
114.729316,114.746508,0.01719,58.167049,
114.746508,114.763502,0.01699,58.845516,
114.763502,114.779352,0.01585,63.089338,
114.779352,114.796201,0.01685,59.350720,
114.796201,114.812824,0.01662,60.160386,
114.812824,114.829425,0.01660,60.234771,
114.829425,114.846012,0.01659,60.288350,
114.846012,114.863221,0.01721,58.109591,
114.863221,114.879378,0.01616,61.894507,
114.879378,114.896517,0.01714,58.343382,
114.896517,114.912742,0.01622,61.633891,
114.912742,114.929340,0.01660,60.251068,
114.929340,114.946514,0.01717,58.225708,
114.946514,114.962638,0.01612,62.021325,
114.962638,114.979351,0.01671,59.831357,
114.979351,114.996057,0.01671,59.860075,
114.996057,115.012702,0.01664,60.079237,
115.012702,115.029503,0.01680,59.519539,
115.029503,115.053805,0.02430,41.148370,
115.053805,115.063375,0.00957,104.498324,
